	RCC4-EV	RCC4-VHL
GJB4	158.692703499481	27.9718835696386
GJB5	1.02801009849538	0
GJB6	0	0
GJB7	0	0
GJC1	346.984505184501	247.970689336547
GJC2	3.04914671211562	3.07677416727845
GJC3	1.28466882322759	0
GJD2	0	0
GJD3	4.34545630913871	2.50581321983296
GJD4	0	0
GJE1	0	0
GK	52.355280804095	24.2871186100971
GK-AS1	0	0
GK-IT1	0	0
GK2	0	0
GK3P	0	0
GK5	82.6272776958391	95.218405745484
GKAP1	50.8706269734823	42.7405977765824
GKN1	0	0
GKN2	0	0
GKN3P	0	0
GLA	644.958350493745	592.060145179625
GLB1	748.670342895568	739.266718763773
GLB1L	70.4400848162465	124.74887796104
GLB1L2	261.987255041337	22.2181355874136
GLB1L3	1.05731540756789	0
GLCCI1	16.9747467958562	79.9670076066348
GLCE	90.3428639173245	110.396201588561
GLDC	707.532506848572	1991.80373538095
GLDCP1	0	0
GLDN	0	0
GLE1	358.267610878649	401.54944552172
GLG1	580.910309476742	574.534889683667
GLI1	6.73915579123862	25.4251335990758
GLI2	9.94399058949095	15.9043088200646
GLI3	82.7246456989504	121.444340708114
GLI4	145.118437851475	190.265936767019
GLIDR	123.854288655572	34.2640794188877
GLIPR1	1843.62420720786	3211.07287641264
GLIPR1L1	0	1.27849207912258
GLIPR1L2	3.04461436424849	3.15132936693153
GLIPR2	776.607522089469	729.521427946543
GLIS1	214.327874007748	196.831406391274
GLIS2	153.15243119513	423.144839364792
GLIS2-AS1	0	0
GLIS3	633.82742709529	889.21193810205
GLIS3-AS1	0	0
GLMN	109.632826974949	110.983685889304
GLMP	20.9230803343977	32.2165557916053
GLO1	1536.77034965544	1146.72784655696
GLOD4	1314.25841123021	846.684276226726
GLOD5	0	0
GLP1R	0	0
GLP2R	27.2391782533549	79.3398825044405
GLRA1	0	0.752508194862486
GLRA2	0.800404885731946	1.22204205320938
GLRA3	0	0
GLRA4	0	0
GLRB	221.299670953824	206.509841472211
GLRX	334.502516003465	493.787949308473
GLRX2	240.658665155887	288.570702892824
GLRX3	2030.81304073351	1760.35529397325
GLRX3P2	0	0
GLRX5	683.929530570174	684.719222623316
GLRXP1	0	0
GLRXP2	0	0
GLRXP3	0	0
GLS	6744.9590171953	6311.86607232329
GLS2	0	0
GLT1D1	0	0
GLT6D1	0	0
GLT8D1	465.356221810492	328.067997019877
GLT8D2	1.76428419880824	1.43623578759103
GLTP	343.895148411821	392.842724644442
GLTPD2	0	0
GLTPP1	0	0
GLUD1	1757.60923190944	1180.02467136236
GLUD1P2	14.0436735563817	5.66474675973524
GLUD1P3	20.1749911392175	35.098746986374
GLUD1P4	0	0
GLUD1P9	0	0
GLUD2	0.537954827613955	48.0978615119815
GLUL	1632.28845755274	3589.81435790265
GLULP3	0	0
GLULP4	0	0
GLULP5	0	0
GLULP6	0	0
GLYAT	0	0
GLYATL1	24.1670598977759	28.5967788767513
GLYATL1B	0	0
GLYATL1P1	0	0
GLYATL1P2	0	0
GLYATL1P4	0	0
GLYATL2	52.7592989415329	38.3079557350403
GLYATL3	0	0
GLYCAM1	0	0
GLYCTK	74.3950038175008	61.5067628225942
GLYCTK-AS1	0	0
GLYR1	967.115874309611	1890.43656487839
GM2A	268.878844925371	240.915122188192
GM2AP1	0	0
GM2AP2	0	0
GMCL1	125.034306728688	133.872837331673
GMCL1P2	0	0
GMCL2	0	0
GMDS	650.878778317703	453.359591857328
GMDS-DT	79.2674520957373	41.933583479724
GMEB1	72.9797104044616	57.3213421639509
GMEB2	134.259009837864	130.593704496215
GMFB	533.543148666535	342.273773730053
GMFBP1	0	0
GMFG	0	0
GMIP	184.992620448901	147.861256666583
GML	0	0
GMNC	0	2.72896425069644
GMNN	1632.13617841201	1086.67290902945
GMPPA	844.071675043761	762.431488124696
GMPPB	56.9325647697366	69.7640370553376
GMPR	0	4.59145300235723
GMPR2	961.212316891603	533.96531187735
GMPS	1182.97982686416	1549.19463358689
GMPSP1	0	0
GNA11	574.926409413636	417.289111609218
GNA12	790.305497591438	589.789718276488
GNA13	537.68956904968	387.612768867551
GNA14	0	0
GNA14-AS1	0	0
