Name	DRR068893	DRR068894	DRR068895	DRR095105	DRR095106	DRR095107	DRR095108	DRR095109	DRR095110	DRR095111	DRR095112	DRR095113	DRR095114	DRR095115	DRR095116
KWMTBOMO15019	0.089048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.263279	0.262444	0.000000	0.079777	0.079278	0.129799	0.000000	0.000000
KWMTBOMO15020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.123019	0.122610	0.219719	0.300364	0.298477	101.784498	101.170296	104.204944
KWMTBOMO15021	194.754318	180.669119	166.024197	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15022	302.649702	308.212256	302.746427	0.390565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.605401	0.000000	0.481815	1.596516	0.632539
KWMTBOMO15023	11.808556	11.597172	8.994428	0.000000	0.000000	0.000000	96.931179	105.823777	106.443910	0.261733	0.089661	0.267297	0.000000	0.193548	0.095868
KWMTBOMO15024	0.000000	0.000000	0.203366	0.000000	0.000000	0.000000	0.298405	0.199576	0.298385	0.177510	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	36.895922	35.231975	36.168564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15026	0.000000	0.000000	0.240079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15027	1.238109	0.000000	0.000000	0.251029	0.363161	0.296293	0.000000	0.169834	0.000000	1.270339	0.364750	1.158201	0.000000	0.000000	0.928035
KWMTBOMO15028	0.000000	0.000000	0.241143	0.000000	0.000000	0.000000	0.082611	0.000000	0.000000	0.063003	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15029	0.753186	1.077596	1.378068	0.000000	0.000000	0.000000	0.092417	0.000000	0.185071	3.937124	2.998890	5.513254	0.000000	0.000000	0.000000
KWMTBOMO15030	0.969748	0.640422	0.976706	0.372481	0.500410	0.497059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15031	0.509531	0.504673	0.767915	1.173208	0.789178	1.763631	8.071336	9.466810	7.029213	0.334736	0.000000	0.226724	0.000000	0.000000	0.000000
KWMTBOMO15032	89.391810	82.385758	81.363562	302.892853	313.400224	308.155533	0.000000	0.523124	0.521325	0.000000	0.642367	0.000000	0.000000	0.000000	0.676459
KWMTBOMO15033	138.621117	139.701761	138.363554	426.796606	435.067437	425.040107	5.563955	3.181607	4.755941	0.000000	0.651281	1.078644	0.347814	0.000000	0.457043
KWMTBOMO15034	3.646775	2.838028	4.711842	32.390421	34.695135	30.853969	5.120549	4.552880	3.213704	1.369029	1.632671	1.622361	0.000000	0.000000	0.000000
KWMTBOMO15035	1.272265	1.148997	0.921488	0.192959	0.108814	0.108077	162.522409	163.837014	165.331185	8.884554	8.879193	9.007302	0.054961	0.146135	0.162868
KWMTBOMO15036	2.180371	1.295761	1.640798	0.000000	0.000000	0.000000	0.238736	0.000000	0.158813	0.000000	0.000000	0.194156	0.000000	0.000000	0.000000
KWMTBOMO15037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.634519	0.430162	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15038	1108.538633	1077.462136	1111.417573	0.000000	0.635751	0.631438	0.449651	0.300237	1.047271	0.808047	0.735463	0.548134	1.773428	1.372768	0.582806
KWMTBOMO15039	0.148636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15040	333.783973	321.942032	318.422285	0.191862	0.172912	0.128804	0.123367	0.330664	0.206021	0.072784	0.399558	0.198534	0.163074	0.270873	0.214673
KWMTBOMO15041	104.390299	115.800815	108.517261	0.784266	0.529329	0.876229	0.000000	0.083967	0.083697	4.170740	3.264129	5.270920	0.000000	0.000000	0.000000
KWMTBOMO15042	46.291853	41.473360	50.793552	0.000000	0.360344	1.073723	0.000000	0.000000	0.000000	1.222372	2.709408	2.485361	0.000000	0.000000	0.000000
KWMTBOMO15043	0.132973	0.131709	0.199455	0.305494	0.721326	0.409389	0.292746	0.293706	0.097582	0.000000	0.000000	0.000000	0.000000	0.256214	0.000000
KWMTBOMO15044	3.445377	2.132863	3.564673	0.000000	0.166801	0.165672	0.471635	0.314835	0.313766	1.131098	1.543725	3.068058	0.309903	0.205601	0.000000
KWMTBOMO15045	1.067869	0.528857	0.400450	0.000000	0.000000	0.410960	0.146930	0.098274	0.391810	0.524313	0.956810	0.237702	434.435397	439.012671	447.639925
KWMTBOMO15046	0.000000	0.149428	0.226455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15047	61.539909	64.773394	69.663460	332.091198	322.424789	322.976708	44.845271	43.831109	40.861060	660.511873	667.037753	680.406689	1.503981	1.711509	0.989019
KWMTBOMO15048	2.447810	2.567150	2.592905	0.000000	0.111577	0.000000	0.000000	0.000000	0.000000	0.000000	0.387061	0.512843	0.000000	0.138556	0.137257
KWMTBOMO15049	15.156076	11.676069	15.683450	0.580735	0.652394	0.000000	0.369916	0.988851	0.615973	5.298951	5.734510	4.048951	0.000000	0.000000	0.000000
KWMTBOMO15050	10.579705	10.307452	10.162599	0.797571	0.268761	0.934281	2.666034	1.908749	3.043786	28.429794	29.685828	29.499926	1.503863	1.164412	0.988710
KWMTBOMO15051	17.160098	15.162089	18.276676	0.534236	0.358306	1.423823	4.014145	1.999176	2.323617	40.240907	39.279977	42.312207	1.959071	1.297080	0.856592
KWMTBOMO15052	2.630380	2.703713	3.487044	0.000000	0.038476	0.114646	0.054922	0.110423	0.110080	0.129530	0.133354	0.044175	0.653530	0.434243	0.334589
KWMTBOMO15053	0.236659	0.234412	0.000000	0.108556	0.073391	0.000000	0.052386	0.035110	0.000000	0.247042	0.593497	0.463416	0.000000	0.000000	0.000000
KWMTBOMO15054	23.679215	20.448153	20.624717	1.748775	1.645135	2.101031	1.653763	1.322109	2.195638	9.968850	11.127660	11.595881	26.408751	26.403652	26.719817
KWMTBOMO15055	0.261173	0.129346	0.293010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15056	12.418068	11.425534	12.307461	0.029797	0.000000	0.015752	0.022675	0.015207	0.000000	0.026658	0.036631	0.039273	0.000000	0.039891	0.000000
KWMTBOMO15057	4.593225	4.310122	4.945269	2.034281	2.373543	2.419478	0.623040	0.536454	0.831850	0.737057	0.577517	0.717383	0.000000	0.078086	0.077356
KWMTBOMO15058	26.611873	23.524400	29.358223	8.240018	9.748357	12.763796	6.865264	10.606750	9.533036	28.193865	20.480671	24.673475	34.333118	33.602721	33.281759
KWMTBOMO15059	0.095929	0.095017	0.000000	0.110109	0.000000	0.073846	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.139738	0.092808	0.000000
KWMTBOMO15060	18.685289	17.656869	16.377187	4.988018	5.494590	4.919856	3.089001	2.507879	2.976277	61.810419	61.317719	64.233336	5.968238	6.313454	6.616288
KWMTBOMO15061	17.591496	15.885330	17.425415	5.346384	4.861363	4.828387	2.885276	2.591568	2.460470	11.010126	12.078420	10.916438	0.568040	0.808748	0.961429
KWMTBOMO15062	0.690049	0.379717	0.573722	0.000000	0.059432	0.000000	0.000000	0.056732	0.056553	1.202009	1.717109	1.296849	0.111891	0.000000	0.000000
